iter	Accuracy	MultiClass
0	0.351105766	2.055478502
1	0.3818400481	2.032626724
2	0.3996792944	2.010901555
3	0.4124407029	1.99243666
4	0.4231977016	1.974739527
5	0.4267388254	1.955621555
6	0.4350237188	1.938342099
7	0.4447116991	1.919978694
8	0.4522616423	1.902439701
9	0.4602792811	1.886855146
10	0.4615487406	1.87026158
11	0.4643549141	1.855106848
12	0.4694995657	1.839991459
13	0.4733747578	1.826648857
14	0.4749114719	1.812831584
15	0.4777176455	1.800990066
16	0.4800561235	1.788882791
17	0.4823277878	1.777774464
18	0.4861361662	1.765466856
19	0.4876728803	1.754687803
20	0.4911471905	1.745174274
21	0.4920825817	1.735957683
22	0.4926170909	1.726045697
23	0.4938865504	1.71563575
24	0.492015768	1.705511721
25	0.494354246	1.696368795
26	0.4954900782	1.687370391
27	0.4955568918	1.678115544
28	0.496492283	1.6705396
29	0.4996993385	1.662292695
30	0.5006347297	1.654982415
31	0.503307276	1.646568042
32	0.5048439901	1.639134952
33	0.5077169774	1.631610791
34	0.5087191822	1.624629745
35	0.5097882007	1.617926223
36	0.5118594241	1.611431754
37	0.5127280016	1.60487807
38	0.5115253558	1.597788219
39	0.5129952562	1.591952611
40	0.514799225	1.5860971
41	0.5147324113	1.580653985
42	0.5147324113	1.574762777
43	0.5156009888	1.569273683
44	0.5163359391	1.564223062
45	0.5173381439	1.558659887
46	0.5182067215	1.553273746
47	0.519075299	1.548169348
48	0.5196098082	1.54351859
49	0.5206788268	1.538534407
50	0.521012895	1.533195072
51	0.5226832365	1.529203798
52	0.5234850003	1.523935734
53	0.5250885281	1.519011407
54	0.5250217144	1.513689757
55	0.5264248012	1.509303207
56	0.5271597515	1.504699878
57	0.5272265651	1.500208422
58	0.5264916149	1.496060925
59	0.5277610744	1.491646904
60	0.5300995523	1.488063164
61	0.5313021982	1.484205316
62	0.532504844	1.480337082
63	0.5311685709	1.476390113
64	0.532103962	1.472858923
65	0.532504844	1.469023601
66	0.5340415581	1.465638808
67	0.5347096947	1.46180599
68	0.5355782722	1.457873803
69	0.5359791541	1.454397451
70	0.5372486136	1.450487847
71	0.5373154273	1.446699478
72	0.5373822409	1.443389761
73	0.5384512594	1.439777116
74	0.539319837	1.43670972
75	0.5381840048	1.433679874
76	0.5405892965	1.430394009
77	0.5423264515	1.427140938
78	0.541457874	1.424147744
79	0.5421260106	1.421320682
80	0.5423264515	1.418326049
81	0.543595911	1.414945157
82	0.5442640476	1.411824889
83	0.5451994388	1.408866039
84	0.5460680163	1.406134844
85	0.5480056123	1.402751128
86	0.548272867	1.399480273
87	0.5489410035	1.3968618
88	0.5496759538	1.394229791
89	0.5498095811	1.391563323
90	0.5499432084	1.388916866
91	0.5504777176	1.386652643
92	0.5518808044	1.383845436
93	0.5524821273	1.381223571
94	0.5530834503	1.378820225
95	0.5547537917	1.376020123
96	0.5549542326	1.373747225
97	0.5560232512	1.371574596
98	0.5566913877	1.369020553
99	0.5586957974	1.366649338
100	0.5588294247	1.364539783
101	0.5592303067	1.362413517
102	0.5598316296	1.360325957
103	0.5598984432	1.358335912
104	0.5605665798	1.355757462
105	0.5620364803	1.353089422
106	0.5628382441	1.350855232
107	0.5632391261	1.348389319
108	0.5649094675	1.345828618
109	0.5656444177	1.343351007
110	0.5659116723	1.34066561
111	0.5669806909	1.338216826
112	0.5681833367	1.336377003
113	0.5691855415	1.334306953
114	0.5698536781	1.331500088
115	0.5710563239	1.329485533
116	0.5707890693	1.327287603
117	0.5717912741	1.325305126
118	0.5732611746	1.323110117
119	0.5735952429	1.320690879
120	0.5742633794	1.318490934
121	0.5751987706	1.316220472
122	0.5754660253	1.313809362
123	0.5762677891	1.312035592
124	0.5777376896	1.310130256
125	0.5786730808	1.307973958
126	0.5787398944	1.306272209
127	0.5789403354	1.3043716
128	0.5797420993	1.302777602
129	0.5816128817	1.300938372
130	0.581746509	1.298510969
131	0.5821473909	1.296748983
132	0.5824146456	1.295204488
133	0.5827487138	1.293385575
134	0.5826819002	1.291300495
135	0.5828823412	1.289159737
136	0.5841518006	1.286965109
137	0.5849535645	1.285310344
138	0.5854212601	1.283314184
139	0.5856885147	1.28164971
140	0.5866907196	1.279840593
141	0.5868911606	1.277971746
142	0.5868243469	1.27626166
143	0.5870916015	1.274436341
144	0.588361061	1.27251531
145	0.5892296385	1.270631225
146	0.5895637068	1.269109296
147	0.5898977751	1.267414431
148	0.5904322844	1.265783449
149	0.5906327253	1.263861607
150	0.5910336073	1.262356006
151	0.5913008619	1.260634765
152	0.5919021848	1.259296718
153	0.5925703214	1.257500362
154	0.5935725262	1.255834148
155	0.5940402218	1.254029197
156	0.5943742901	1.252646687
157	0.5956437496	1.250849203
158	0.5967127681	1.249100542
159	0.5972472773	1.247243767
160	0.597314091	1.245845225
161	0.5975813456	1.244306862
162	0.5985835505	1.242666105
163	0.5995857553	1.240758382
164	0.599652569	1.239357849
165	0.6002538919	1.237605614
166	0.6011224694	1.236159157
167	0.6005879602	1.234696127
168	0.601790606	1.2331375
169	0.6023251153	1.231619331
170	0.6023251153	1.22983486
171	0.6030600655	1.228288094
172	0.6032605064	1.226893379
173	0.6041958976	1.225205242
174	0.6057326117	1.223477194
175	0.6064007483	1.221755525
176	0.6061334937	1.220089111
177	0.6071356985	1.218658779
178	0.6074029532	1.217252661
179	0.6074697668	1.215789125
180	0.6078706488	1.214272359
181	0.608405158	1.213019128
182	0.6094741765	1.211381624
183	0.6095409902	1.210098568
184	0.6102759404	1.208861639
185	0.6108772633	1.207372583
186	0.6114117726	1.206050331
187	0.6120799091	1.204874882
188	0.6121467228	1.203674239
189	0.6126144184	1.202343586
190	0.6134161823	1.200617686
191	0.6145520144	1.198980346
192	0.6146188281	1.197450622
193	0.615420592	1.195687816
194	0.6157546603	1.194160502
195	0.6168236788	1.192510201
196	0.617558629	1.19125726
197	0.6181599519	1.189983118
198	0.6184272065	1.188507275
199	0.6182935792	1.18711171
200	0.6184272065	1.185306208
201	0.6189617158	1.183797228
202	0.6192957841	1.182672314
203	0.619897107	1.181276809
204	0.6203648026	1.179692472
205	0.6209661255	1.1779029
206	0.6215006347	1.176053506
207	0.6223023986	1.174593068
208	0.6227700942	1.17346443
209	0.6230373488	1.171841973
210	0.6235050444	1.17029694
211	0.6247745039	1.168972844
212	0.6259103361	1.167754351
213	0.6260439634	1.166507573
214	0.6271797956	1.165095146
215	0.6275806775	1.163844926
216	0.6287833233	1.162173542
217	0.6299191555	1.160732839
218	0.630587292	1.159416623
219	0.6303200374	1.158277815
220	0.6319235652	1.156717106
221	0.6317899379	1.155756091
222	0.6329925837	1.154408143
223	0.6337275339	1.153217757
224	0.6336607203	1.1525927
225	0.6351306207	1.151129372
226	0.6349301797	1.149861217
227	0.6359991982	1.148736213
228	0.6372686577	1.147537335
229	0.6368009621	1.145941303
230	0.6375359123	1.144563314
231	0.6379367943	1.143468729
232	0.6380704216	1.142091102
233	0.6390726264	1.140716885
234	0.6392062538	1.139506204
235	0.6398743903	1.138270542
236	0.6402752723	1.137107324
237	0.6412106635	1.135892988
238	0.6416783591	1.134539145
239	0.6422128683	1.133382936
240	0.6421460547	1.132687425
241	0.6426805639	1.131375697
242	0.6434155141	1.130340839
243	0.6445513463	1.129168551
244	0.6453531102	1.127990609
245	0.6461548741	1.126877187
246	0.6468230106	1.125706093
247	0.6476915882	1.12445634
248	0.6482260974	1.122963126
249	0.6484265384	1.121762585
250	0.6495623705	1.120756826
251	0.6498296252	1.119328856
252	0.6501636935	1.118349577
253	0.6503641344	1.117176253
254	0.6508986437	1.116140069
255	0.651232712	1.115045957
256	0.6514999666	1.113750569
257	0.6521012895	1.112467315
258	0.652969867	1.111161783
259	0.6529030534	1.109991623
260	0.6530366807	1.108731338
261	0.6541725129	1.107451185
262	0.6546402085	1.106458926
263	0.655508786	1.10535622
264	0.6559764816	1.103951736
265	0.6565109908	1.102774068
266	0.6570455001	1.101465235
267	0.6575131957	1.100080766
268	0.6584485869	1.09898823
269	0.6586490279	1.097675394
270	0.6590499098	1.096659387
271	0.6595176054	1.095659837
272	0.6603193693	1.094215369
273	0.6617892697	1.092878732
274	0.6627246609	1.091819387
275	0.6635264248	1.090585227
276	0.664461816	1.089184231
277	0.6650631389	1.087930132
278	0.6661989711	1.086614126
279	0.666800294	1.085187623
280	0.6671343623	1.084134103
281	0.6673348032	1.083254014
282	0.6681365671	1.082369329
283	0.6690719583	1.08125917
284	0.6694060266	1.080192318
285	0.6705418588	1.078947951
286	0.6716108773	1.077614615
287	0.6722122002	1.076758419
288	0.6724126411	1.075378759
289	0.6730139641	1.074111359
290	0.6733480323	1.072888332
291	0.673615287	1.071791154
292	0.6739493552	1.070624784
293	0.6744838645	1.06917186
