iter	Passed	Remaining
0	2356	1647415
1	4875	1701451
2	7224	1678470
3	9482	1649897
4	11777	1637136
5	14059	1626272
6	16324	1616128
7	18622	1610835
8	21007	1612871
9	23296	1607445
10	25582	1602415
11	27922	1600915
12	30355	1604166
13	32681	1601409
14	35032	1599839
15	37349	1596698
16	39628	1592133
17	42089	1594734
18	44408	1591681
19	46693	1587575
20	49016	1584851
21	51278	1580303
22	53597	1577621
23	55948	1575883
24	58253	1572841
25	60560	1569922
26	62924	1568456
27	66053	1585285
28	70557	1632564
29	75181	1679049
30	79414	1713810
31	82229	1716538
32	85099	1720048
33	88321	1730065
34	91846	1745078
35	95787	1766739
36	100224	1795906
37	104403	1818818
38	108957	1846693
39	112706	1859657
40	115047	1849176
41	117338	1838298
42	119590	1827234
43	121873	1817025
44	124151	1807091
45	126436	1797600
46	128763	1788996
47	130996	1779366
48	133306	1771072
49	135594	1762728
50	137855	1754274
51	140211	1747245
52	142447	1738938
53	144721	1731298
54	146980	1723678
55	149252	1716399
56	151514	1709195
57	153765	1702021
58	156007	1694929
59	158296	1688496
60	160573	1682077
61	162860	1675891
62	165127	1669624
63	167407	1663609
64	169708	1657926
65	172388	1655977
66	174654	1650092
67	176932	1644428
68	179189	1638678
69	181445	1633010
70	183688	1627322
71	185959	1621980
72	188187	1616347
73	190448	1611094
74	192723	1606030
75	194979	1600882
76	197224	1595729
77	199496	1590858
78	201752	1585926
79	204054	1581426
80	206312	1576637
81	208584	1572012
82	210846	1567377
83	213101	1562747
84	215383	1558364
85	217658	1553981
86	219918	1549542
87	222198	1545287
88	224457	1540941
89	226717	1536642
90	229002	1532555
91	231302	1528605
92	233569	1524482
93	235833	1520373
94	238088	1516245
95	240375	1512360
96	242686	1508657
97	244886	1504304
98	247133	1500275
99	249362	1496173
100	251613	1492244
101	253925	1488698
102	256161	1484743
103	258395	1480805
104	260597	1476721
105	262858	1472999
106	265112	1469268
107	267396	1465730
108	269668	1462149
109	271923	1458499
110	274196	1454968
111	276456	1451398
112	278724	1447888
113	280965	1444261
114	283267	1440970
115	285537	1437531
116	287813	1434149
117	290097	1430821
118	292365	1427432
119	294619	1423992
120	296890	1420660
121	299197	1417511
122	301542	1414551
123	303896	1411647
124	306301	1408988
125	308557	1405651
126	310765	1402115
127	312989	1398670
128	315233	1395337
129	317487	1392061
130	319772	1388937
131	322038	1385740
132	324301	1382546
133	326546	1379294
134	328816	1376159
135	331108	1373125
136	333374	1370000
137	335657	1366953
138	337922	1363844
139	340197	1360788
140	342464	1357712
141	344744	1354698
142	346984	1351539
143	349239	1348451
144	351506	1345422
145	353784	1342442
146	356040	1339391
147	358329	1336472
148	360617	1333558
149	362894	1330613
150	365131	1327530
151	367397	1324563
152	369650	1321559
153	371949	1318730
154	374197	1315726
155	376430	1312679
156	378643	1309577
157	380921	1306705
158	383194	1303824
159	385409	1300756
160	387664	1297832
161	389907	1294878
162	392182	1292036
163	394506	1289361
164	396890	1286888
165	399233	1284279
166	401646	1281901
167	404431	1280698
168	406975	1278722
169	409505	1276693
170	412294	1275461
171	415176	1274496
172	418330	1274337
173	421454	1274051
174	424485	1273456
175	427212	1271929
176	430158	1271034
177	433020	1269869
178	435704	1268167
179	438220	1265970
180	441469	1265870
181	444610	1265428
182	447911	1265411
183	451953	1267435
184	456655	1271231
185	460907	1273689
186	464097	1273166
187	466328	1269999
188	468578	1266896
189	470863	1263896
190	473127	1260847
191	475415	1257870
192	477673	1254821
193	479955	1251843
194	482207	1248793
195	484504	1245869
196	486765	1242857
197	489065	1239954
198	491381	1237095
199	493628	1234071
200	495937	1231209
201	498213	1228268
202	500483	1225322
203	502752	1222378
204	505094	1219617
205	507387	1216743
206	509639	1213779
207	511914	1210874
208	514171	1207935
209	516455	1205063
210	518738	1202195
211	521022	1199334
212	523283	1196426
213	525511	1193451
214	527789	1190594
215	530092	1187800
216	532343	1184894
217	534622	1182055
218	536898	1179214
219	539156	1176340
220	541413	1173469
221	543672	1170610
